states,year,quarter,district,trans_counts,amount,registered_user_counts,level
andaman-&-nicobar-islands,2018,1,north and middle andaman district,442.0,931663.0770939871,632,district_map
andaman-&-nicobar-islands,2018,1,south andaman district,5688.0,12560249.34366581,5846,district_map
andaman-&-nicobar-islands,2018,1,nicobars district,528.0,1139848.801225994,262,district_map
andaman-&-nicobar-islands,2018,2,north and middle andaman district,825.0,1317863.0834906558,911,district_map
andaman-&-nicobar-islands,2018,2,south andaman district,9395.0,23948235.51634325,8143,district_map
andaman-&-nicobar-islands,2018,2,nicobars district,1120.0,3072436.9081196385,351,district_map
andaman-&-nicobar-islands,2018,3,north and middle andaman district,1283.0,4901529.518499676,1208,district_map
andaman-&-nicobar-islands,2018,3,south andaman district,13511.0,44268112.464252464,10474,district_map
andaman-&-nicobar-islands,2018,3,nicobars district,1471.0,6387829.151558982,467,district_map
andaman-&-nicobar-islands,2018,4,north and middle andaman district,2137.0,7955635.917688001,1553,district_map
andaman-&-nicobar-islands,2018,4,south andaman district,20136.0,75411840.8018554,13133,district_map
andaman-&-nicobar-islands,2018,4,nicobars district,1485.0,7180859.354911782,536,district_map
andaman-&-nicobar-islands,2019,1,north and middle andaman district,3264.0,9561708.736298349,2013,district_map
andaman-&-nicobar-islands,2019,1,south andaman district,25683.0,85501972.38780196,15961,district_map
andaman-&-nicobar-islands,2019,1,nicobars district,1539.0,7236059.549389593,622,district_map
andaman-&-nicobar-islands,2019,2,north and middle andaman district,3371.0,8612103.137888122,2417,district_map
andaman-&-nicobar-islands,2019,2,south andaman district,28490.0,102530955.71341252,18621,district_map
andaman-&-nicobar-islands,2019,2,nicobars district,1828.0,9111650.82436246,693,district_map
andaman-&-nicobar-islands,2019,3,north and middle andaman district,4049.0,11481466.28335679,2662,district_map
andaman-&-nicobar-islands,2019,3,south andaman district,27421.0,91023888.32848611,20518,district_map
andaman-&-nicobar-islands,2019,3,nicobars district,2300.0,11566421.47545101,751,district_map
andaman-&-nicobar-islands,2019,4,north and middle andaman district,4716.0,13524056.78457394,2955,district_map
andaman-&-nicobar-islands,2019,4,south andaman district,27843.0,110930312.2061162,22202,district_map
andaman-&-nicobar-islands,2019,4,nicobars district,2600.0,12384161.52668771,803,district_map
andaman-&-nicobar-islands,2020,1,north and middle andaman district,5674.0,14697371.6178571,3315,district_map
andaman-&-nicobar-islands,2020,1,south andaman district,32713.0,134679396.90582752,24174,district_map
andaman-&-nicobar-islands,2020,1,nicobars district,2911.0,12099543.77359005,879,district_map
andaman-&-nicobar-islands,2020,2,north and middle andaman district,10979.0,22447714.061058957,4100,district_map
andaman-&-nicobar-islands,2020,2,south andaman district,48088.0,132855778.74838582,27626,district_map
andaman-&-nicobar-islands,2020,2,nicobars district,3895.0,14341508.60470232,984,district_map
andaman-&-nicobar-islands,2020,3,north and middle andaman district,16747.0,33486883.37042555,5355,district_map
andaman-&-nicobar-islands,2020,3,south andaman district,95323.0,282366109.2052393,34833,district_map
andaman-&-nicobar-islands,2020,3,nicobars district,5413.0,22166453.75469538,1147,district_map
andaman-&-nicobar-islands,2020,4,north and middle andaman district,29349.0,68941322.38839513,7076,district_map
andaman-&-nicobar-islands,2020,4,south andaman district,186494.0,523122462.883029,43908,district_map
andaman-&-nicobar-islands,2020,4,nicobars district,8688.0,35218871.04342849,1412,district_map
andaman-&-nicobar-islands,2021,1,north and middle andaman district,27358.0,75027255.27919498,7833,district_map
andaman-&-nicobar-islands,2021,1,south andaman district,207092.0,669604045.1248703,48352,district_map
andaman-&-nicobar-islands,2021,1,nicobars district,10302.0,39075266.9856904,1573,district_map
andaman-&-nicobar-islands,2021,2,north and middle andaman district,39200.0,90233388.79463302,8493,district_map
andaman-&-nicobar-islands,2021,2,south andaman district,286907.0,760893020.5704944,51903,district_map
andaman-&-nicobar-islands,2021,2,nicobars district,15307.0,48020606.74716837,1699,district_map
andaman-&-nicobar-islands,2021,3,north and middle andaman district,46592.0,118254865.8275068,9263,district_map
andaman-&-nicobar-islands,2021,3,south andaman district,382418.0,1116789010.645961,55873,district_map
andaman-&-nicobar-islands,2021,3,nicobars district,20754.0,74980519.3281361,1846,district_map
andaman-&-nicobar-islands,2021,4,north and middle andaman district,53115.0,156486112.2873243,10002,district_map
andaman-&-nicobar-islands,2021,4,south andaman district,558571.0,1694794708.0093331,59807,district_map
andaman-&-nicobar-islands,2021,4,nicobars district,24437.0,81329281.02699961,1971,district_map
andaman-&-nicobar-islands,2022,1,north and middle andaman district,60059.0,161624878.52274162,10720,district_map
andaman-&-nicobar-islands,2022,1,south andaman district,705512.0,1872991195.902684,63487,district_map
