states,year,quarter,district,trans_counts,amount,registered_user_counts,level
andaman-&-nicobar-islands,2018,1,south andaman,5688.0,12560249.34366581,5846.0,district_top
andaman-&-nicobar-islands,2018,1,nicobars,528.0,1139848.801225994,262.0,district_top
andaman-&-nicobar-islands,2018,1,north and middle andaman,442.0,931663.0770939871,632.0,district_top
andaman-&-nicobar-islands,2018,2,south andaman,9395.0,23948235.51634325,8143.0,district_top
andaman-&-nicobar-islands,2018,2,nicobars,1120.0,3072436.9081196385,351.0,district_top
andaman-&-nicobar-islands,2018,2,north and middle andaman,825.0,1317863.0834906558,911.0,district_top
andaman-&-nicobar-islands,2018,3,south andaman,13511.0,44268112.464252464,10474.0,district_top
andaman-&-nicobar-islands,2018,3,nicobars,1471.0,6387829.151558982,467.0,district_top
andaman-&-nicobar-islands,2018,3,north and middle andaman,1283.0,4901529.518499676,1208.0,district_top
andaman-&-nicobar-islands,2018,4,south andaman,20136.0,75411840.8018554,13133.0,district_top
andaman-&-nicobar-islands,2018,4,north and middle andaman,2137.0,7955635.917688001,1553.0,district_top
andaman-&-nicobar-islands,2018,4,nicobars,1485.0,7180859.354911782,536.0,district_top
andaman-&-nicobar-islands,2019,1,south andaman,25683.0,85501972.38780196,15961.0,district_top
andaman-&-nicobar-islands,2019,1,north and middle andaman,3264.0,9561708.736298349,2013.0,district_top
andaman-&-nicobar-islands,2019,1,nicobars,1539.0,7236059.549389593,622.0,district_top
andaman-&-nicobar-islands,2019,2,south andaman,28490.0,102530955.71341252,18621.0,district_top
andaman-&-nicobar-islands,2019,2,north and middle andaman,3371.0,8612103.13788812,2417.0,district_top
andaman-&-nicobar-islands,2019,2,nicobars,1828.0,9111650.82436246,693.0,district_top
andaman-&-nicobar-islands,2019,3,south andaman,27421.0,91023888.32848611,20518.0,district_top
andaman-&-nicobar-islands,2019,3,north and middle andaman,4049.0,11481466.28335679,2662.0,district_top
andaman-&-nicobar-islands,2019,3,nicobars,2300.0,11566421.47545101,751.0,district_top
andaman-&-nicobar-islands,2019,4,south andaman,27843.0,110930312.2061162,22202.0,district_top
andaman-&-nicobar-islands,2019,4,north and middle andaman,4716.0,13524056.78457394,2955.0,district_top
andaman-&-nicobar-islands,2019,4,nicobars,2600.0,12384161.52668771,803.0,district_top
andaman-&-nicobar-islands,2020,1,south andaman,32713.0,134679396.90582752,24174.0,district_top
andaman-&-nicobar-islands,2020,1,north and middle andaman,5674.0,14697371.6178571,3315.0,district_top
andaman-&-nicobar-islands,2020,1,nicobars,2911.0,12099543.77359005,879.0,district_top
andaman-&-nicobar-islands,2020,2,south andaman,48088.0,132855778.74838582,27626.0,district_top
andaman-&-nicobar-islands,2020,2,north and middle andaman,10979.0,22447714.061058957,4100.0,district_top
andaman-&-nicobar-islands,2020,2,nicobars,3895.0,14341508.60470232,984.0,district_top
andaman-&-nicobar-islands,2020,3,south andaman,95323.0,282366109.2052393,34833.0,district_top
andaman-&-nicobar-islands,2020,3,north and middle andaman,16747.0,33486883.370425563,5355.0,district_top
andaman-&-nicobar-islands,2020,3,nicobars,5413.0,22166453.75469538,1147.0,district_top
andaman-&-nicobar-islands,2020,4,south andaman,186494.0,523122462.883029,43908.0,district_top
andaman-&-nicobar-islands,2020,4,north and middle andaman,29349.0,68941322.38839513,7076.0,district_top
andaman-&-nicobar-islands,2020,4,nicobars,8688.0,35218871.04342848,1412.0,district_top
andaman-&-nicobar-islands,2021,1,south andaman,207092.0,669604045.1248703,48352.0,district_top
andaman-&-nicobar-islands,2021,1,north and middle andaman,27358.0,75027255.27919498,7833.0,district_top
andaman-&-nicobar-islands,2021,1,nicobars,10302.0,39075266.9856904,1573.0,district_top
andaman-&-nicobar-islands,2021,2,south andaman,286907.0,760893020.5704948,51903.0,district_top
andaman-&-nicobar-islands,2021,2,north and middle andaman,39200.0,90233388.79463305,8493.0,district_top
andaman-&-nicobar-islands,2021,2,nicobars,15307.0,48020606.74716838,1699.0,district_top
andaman-&-nicobar-islands,2021,3,south andaman,382418.0,1116789010.645961,55873.0,district_top
andaman-&-nicobar-islands,2021,3,north and middle andaman,46592.0,118254865.8275068,9263.0,district_top
andaman-&-nicobar-islands,2021,3,nicobars,20754.0,74980519.32813609,1846.0,district_top
andaman-&-nicobar-islands,2021,4,south andaman,558571.0,1694794708.0093331,59807.0,district_top
andaman-&-nicobar-islands,2021,4,north and middle andaman,53115.0,156486112.2873243,10002.0,district_top
andaman-&-nicobar-islands,2021,4,nicobars,24437.0,81329281.02699961,1971.0,district_top
andaman-&-nicobar-islands,2022,1,south andaman,705512.0,1872991195.902684,63487.0,district_top
andaman-&-nicobar-islands,2022,1,north and middle andaman,60059.0,161624878.52274162,10720.0,district_top
andaman-&-nicobar-islands,2022,1,nicobars,29177.0,94414127.64974087,2081.0,district_top
andaman-&-nicobar-islands,2022,2,south andaman,954875.0,2357326563.362071,66959.0,district_top
andaman-&-nicobar-islands,2022,2,north and middle andaman,72573.0,195693167.78757265,11379.0,district_top
andaman-&-nicobar-islands,2022,2,nicobars,43769.0,132900618.93062322,2192.0,district_top
andaman-&-nicobar-islands,2022,3,south andaman,1455255.0,2967719400.849909,70445.0,district_top
andaman-&-nicobar-islands,2022,3,north and middle andaman,79574.0,211581970.34202647,11897.0,district_top
andaman-&-nicobar-islands,2022,3,nicobars,49550.0,131330400.9454508,2300.0,district_top
andaman-&-nicobar-islands,2022,4,south andaman,1835592.0,3600887266.099448,73692.0,district_top
andaman-&-nicobar-islands,2022,4,north and middle andaman,93297.0,241431284.3558103,12361.0,district_top
andaman-&-nicobar-islands,2022,4,nicobars,58646.0,142355853.9735252,2389.0,district_top
andhra-pradesh,2018,1,visakhapatnam,1256469.0,1749966196.5049942,497187.0,district_top
andhra-pradesh,2018,1,east godavari,943935.0,1235785515.599726,350356.0,district_top
andhra-pradesh,2018,1,krishna,863935.0,1284255179.61562,323673.0,district_top
andhra-pradesh,2018,1,chittoor,830324.0,1009621878.0870508,309541.0,district_top
andhra-pradesh,2018,1,guntur,815932.0,1108686589.026682,317065.0,district_top
andhra-pradesh,2018,1,kurnool,679623.0,764905298.7350456,240133.0,district_top
andhra-pradesh,2018,1,anantapur,638664.0,788830646.0324218,241192.0,district_top
andhra-pradesh,2018,1,west godavari,577090.0,853547668.7532667,213335.0,district_top
andhra-pradesh,2018,1,prakasam,534757.0,748990775.8676486,189949.0,district_top
andhra-pradesh,2018,1,spsr nellore,531612.0,676643237.8069417,194475.0,district_top
andhra-pradesh,2018,2,visakhapatnam,1641192.0,2987853607.2939086,636052.0,district_top
andhra-pradesh,2018,2,krishna,1224987.0,2448141593.4919834,431965.0,district_top
andhra-pradesh,2018,2,east godavari,1221677.0,2168914928.423901,454398.0,district_top
andhra-pradesh,2018,2,chittoor,1185723.0,1990419125.893711,414306.0,district_top
andhra-pradesh,2018,2,guntur,1088101.0,2108475811.785997,420326.0,district_top
andhra-pradesh,2018,2,kurnool,968439.0,1531888665.684323,319313.0,district_top
andhra-pradesh,2018,2,anantapur,937023.0,1690366079.055792,326383.0,district_top
andhra-pradesh,2018,2,west godavari,786033.0,1688025212.304594,282393.0,district_top
andhra-pradesh,2018,2,spsr nellore,780454.0,1542057934.010896,261049.0,district_top
andhra-pradesh,2018,2,prakasam,739991.0,1571167562.1276271,253458.0,district_top
andhra-pradesh,2018,3,visakhapatnam,3394576.0,4821892253.393524,769096.0,district_top
andhra-pradesh,2018,3,east godavari,3226907.0,3551247095.307446,558982.0,district_top
andhra-pradesh,2018,3,kurnool,2921189.0,2908389261.539773,394311.0,district_top
andhra-pradesh,2018,3,krishna,2396934.0,3754202654.384461,537086.0,district_top
andhra-pradesh,2018,3,chittoor,2297429.0,3283517630.720593,515727.0,district_top
andhra-pradesh,2018,3,guntur,1912529.0,3127764663.180438,518931.0,district_top
andhra-pradesh,2018,3,anantapur,1815215.0,2681787750.4641647,405855.0,district_top
andhra-pradesh,2018,3,ysr,1557444.0,2235904512.2542043,,district_top
andhra-pradesh,2018,3,west godavari,1431282.0,2309078492.805815,349782.0,district_top
andhra-pradesh,2018,3,prakasam,1319651.0,2346453445.4838424,314899.0,district_top
andhra-pradesh,2018,4,visakhapatnam,4791421.0,7366635864.849373,978288.0,district_top
andhra-pradesh,2018,4,chittoor,3166201.0,4979093890.223491,665280.0,district_top
andhra-pradesh,2018,4,east godavari,3052762.0,4652624623.436675,694455.0,district_top
andhra-pradesh,2018,4,krishna,2839161.0,5416251838.130406,682479.0,district_top
andhra-pradesh,2018,4,guntur,2546620.0,4730251217.69696,659552.0,district_top
andhra-pradesh,2018,4,kurnool,2508530.0,3626544852.406924,498582.0,district_top
andhra-pradesh,2018,4,anantapur,2286391.0,3975878156.3298287,510892.0,district_top
andhra-pradesh,2018,4,spsr nellore,1814997.0,3293448556.973445,407495.0,district_top
andhra-pradesh,2018,4,ysr,1732527.0,3252340063.247859,,district_top
andhra-pradesh,2018,4,prakasam,1692862.0,3255254226.03728,394962.0,district_top
andhra-pradesh,2019,1,visakhapatnam,9690866.0,13459857440.55268,1174517.0,district_top
andhra-pradesh,2019,1,chittoor,6486813.0,8223371732.233584,812314.0,district_top
andhra-pradesh,2019,1,krishna,5443981.0,9061346433.07268,833694.0,district_top
andhra-pradesh,2019,1,east godavari,5440146.0,7382264724.59952,839277.0,district_top
andhra-pradesh,2019,1,guntur,4846553.0,7765934169.404485,802394.0,district_top
andhra-pradesh,2019,1,kurnool,4193432.0,5541564892.509683,599422.0,district_top
andhra-pradesh,2019,1,anantapur,3891336.0,6044730653.191345,612162.0,district_top
